"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
2195,650333,"Arraez, Luis",6990,31.4,0.314,0.106,0.322,0.419,0.339,0.338,0.303,175,558,88,13.4,2231,89.7,89.78,63,1015,1180,0.09999999999999432,6.38,116,148,107,151,280,313,299,"-14.4","14.4","61.6","5.8",597,525,136,28,2,9,35,5.9,34,5.7,2.20434,0.68088,0.4558,-0.26676,"90.7",165,28.76190476190476,3.2380952380952377,2.8475711892797317,5.79,-0.97,-0.22,2.31,0.355,17,"0.654806378",0.346,0.425,"-0.654806378",0.011,0.009000000000000008,-0.006,0.001,6.2,"37.7"
2095,527038,"Flores, Wilmer",5265,39.8,0.245,0.166,0.249,0.411,0.31,0.312,0.244,117,477,85.6,23.1,2235,88.6,88.81,139,955,1140,0.20000000000000284,6.38,108,152,121,147,300,320,291,"5","-5","64.4","6.8",531,416,74,25,0,18,70,13.2,38,7.2,2.33568,0.62573,0.34055,-0.03859,"91.1",167,30.048076923076923,6.971153846153847,5.4613935969868175,5.87,-0.1,0.13,2.33,0.305,29,"-0.236801909",0.309,0.4,"0.236801909",0.001,-0.0040000000000000036,0.011,-0.002,14.6,"38.6"
1956,668715,"Steer, Spencer",5733,34.1,0.261,0.197,0.304,0.458,0.338,0.314,0.246,121,463,88.5,16.3,2280,89.6,89.93,221,889,1065,0.30000000000001137,6.46,108,151,120,147,300,322,291,"-17.9","17.9","69.4","7.3",511,354,70,30,2,19,111,21.7,40,7.8,2.25116,0.63049,0.33608,0.1676,"91.6",163,37.85310734463277,5.932203389830509,4.10958904109589,5.88,-1.07,0.23,2.3,0.327,21,"0.915593047",0.314,0.403,"-0.915593047",0.015,0.013000000000000012,0.055,0.024,24.9,"40.3"
1948,458015,"Votto, Joey",2443,79.7,0.2,0.205,0.227,0.406,0.32,0.314,0.203,84,419,89.2,13.7,2214,88.7,88.76,264,910,1038,0.09999999999999432,6.35,115,157,133,152,292,323,301,"-5.8","5.8",,,491,295,43,18,1,22,124,25.3,59,12,2.38591,0.56308,0.32129,-0.18042,"91.4",152,37.96610169491525,11.186440677966102,6.720977596741344,5.79,-0.73,-0.18,2.36,0.318,33,"0.299075975",0.32,0.382,"-0.299075975",-0.003,-0.0020000000000000018,0.024,0.006,29,"37.3"
1859,596847,"Choi, Ji Man",2357,78.9,0.22,0.135,0.303,0.354,0.301,0.325,0.231,80,364,91.9,10.6,2210,89.6,89.6,248,783,1076,0,6.36,116,165,122,153,292,326,302,"4.8","-4.8",,,419,243,49,22,0,9,123,29.4,50,11.9,2.15314,0.73252,0.47424,-0.39915,"92.2",157,47.73662551440329,11.522633744855968,6.682577565632458,5.84,-1.3,-0.21,2.39,0.317,28,"-0.257235073",0.329,0.399,"0.257235073",-0.011,-0.01200000000000001,-0.045,-0.024,31.7,"38.6"
1855,656582,"Joe, Connor",5534,33.5,0.227,0.184,0.26,0.411,0.325,0.315,0.228,90,397,87.4,15.9,2234,88.4,88.65,173,753,1102,0.19999999999998863,6.39,108,151,121,146,307,322,291,"-2.5","2.5","70.3","7.4",460,306,48,25,3,14,93,20.2,50,10.9,2.43864,0.53452,0.32341,-0.09705,"91.8",161,38.56209150326798,6.862745098039216,4.565217391304348,5.71,-0.05,0.24,2.24,0.328,21,"0.135256065",0.33,0.371,"-0.135256065",-0.001,-0.0020000000000000018,0.04,0.01,23,"37.5"
1804,543333,"Hosmer, Eric",2024,89.1,0.265,0.12,0.3,0.385,0.31,0.307,0.254,113,426,88.3,3,2254,89.1,89.01,172,891,913,-0.09999999999999432,6.3,115,153,122,152,294,325,305,"-1.4","1.4",,,461,353,82,21,0,10,74,16.1,33,7.2,2.33721,0.58866,0.36515,-0.21888,"92.2",129,40.226628895184135,6.232294617563739,4.772234273318872,5.7,-0.78,-0.09,2.29,0.319,22,"0.076607539",0.311,0.381,"-0.076607539",0.011,0.008000000000000007,0.004,0.003,19.3,"36.5"
1801,518934,"LeMahieu, DJ",5251,34.3,0.261,0.124,0.282,0.386,0.319,0.327,0.26,105,402,88.9,2.7,2249,89.9,90.12,108,706,1095,0.19999999999998863,6.47,112,150,122,148,306,323,287,"6.1","-6.1","66.3","7.0",457,340,81,11,0,13,68,14.9,46,10.1,2.16111,0.70505,0.43398,0.05742,"92.1",159,42.05882352941177,6.470588235294119,4.814004376367615,5.75,-0.6,0.01,2.33,0.338,22,"-0.338978345",0.339,0.4,"0.338978345",0.001,-0.0010000000000000009,-0.014,-0.008,15.3,"38.7"
1779,668472,"Pratto, Nick",2239,79.5,0.228,0.174,0.346,0.402,0.309,0.273,0.198,84,368,86.4,14.9,2232,89.3,89.49,267,788,990,0.20000000000000284,6.37,116,152,119,152,296,327,304,"3.6","-3.6",,,417,219,47,23,1,13,155,37.2,37,8.9,2.25085,0.649,0.36945,-0.23984,"91.0",161,39.26940639269406,8.21917808219178,4.316546762589928,5.78,-0.92,-0.14,2.3,0.305,18,"-0.202866779",0.28,0.329,"0.202866779",0.03,0.024999999999999967,0.073,0.036,33.9,"39.5"
1743,656811,"O'Hearn, Ryan",3918,44.5,0.261,0.165,0.307,0.427,0.314,0.317,0.26,109,417,90.3,10.8,2272,88.9,89.03,200,884,859,0.09999999999999432,6.4,115,147,124,153,297,327,301,"0","0","71.0","7.1",445,324,69,25,1,14,96,21.6,21,4.7,2.40319,0.52871,0.26172,-0.19027,"92.0",152,45.06172839506173,8.024691358024691,5.842696629213483,5.8,-1.37,-0.09,2.36,0.302,26,"-0.000172117",0.303,0.43,"0.000172117",0.001,-0.0010000000000000009,-0.003,-0.003,22.6,"39.2"
