"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"SL","2024-09-30","85.9","-2.4","5.94","Alonso, Pete",624413,656550,"strikeout","swinging_strike",,,,,9,"Pete Alonso strikes out swinging.","R","R","R","ATL","NYM","S",2,,0,2,2024,"0.14","-0.27","0.37","1.66",,,,0,2,"Top",,,,,,,6.246794532978315,-125.04894835899339,-3.3696227748635126,0.2669620274116021,23.25360334455502,-34.58314194900357,"3.46","1.64",,,,"85.8",2747,"6.1",747064,669221,621566,645277,570482,606115,657656,671739,624585,"54.45",,0,"0",1,0,0,,8,3,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",49,"0.023","-0.146","65.6","8.1",,"0.146",,0,0,"0.5","0.5",28,29,28,30,1,0,1,0,,1,"3.34","-0.14","-0.14","35.4"
"SL","2024-09-30","85.9","-2.61","5.9","Alonso, Pete",624413,656550,,"swinging_strike",,,,,14,"Pete Alonso strikes out swinging.","R","R","R","ATL","NYM","S",,,0,1,2024,"0.17","-0.41","1.27","0.21",,,,0,2,"Top",,,,,,,8.814761533091705,-124.80085366290108,-6.420712996870524,0.27141053741252824,22.144804592842494,-35.50777270463018,"3.46","1.64",,,,"85.9",2780,"6.1",747064,669221,621566,645277,570482,606115,657656,671739,624585,"54.38",,,,,,,,8,2,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",29,"0","-0.049","28.2","6.7",,"0.049",,0,0,"0.5","0.5",28,29,28,30,1,0,1,0,,1,"3.48","-0.17","-0.17","35.2"
"SL","2024-09-30","84.6","-2.57","5.99","Alonso, Pete",624413,656550,,"called_strike",,,,,4,"Pete Alonso strikes out swinging.","R","R","R","ATL","NYM","S",,,0,0,2024,"0.41","0.04","-0.51","2.37",,,,0,2,"Top",,,,,,,3.976078324409808,-123.27147474449609,-2.213509042844325,3.4480087728253515,23.030881477019836,-31.55028063277001,"3.41","1.62",,,,"84.4",2592,"5.9",747064,669221,621566,645277,570482,606115,657656,671739,624585,"54.55",,,,,,,,8,1,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",44,"0","-0.033",,,,"0.033",,0,0,"0.5","0.5",28,29,28,30,1,0,1,0,,1,"3.12","-0.41","-0.41","35.0"
"SI","2024-09-30","96.3","-1.39","5.63","Alonso, Pete",624413,628452,"field_out","hit_into_play",,,,,5,"Pete Alonso grounds out, shortstop Orlando Arcia to first baseman Matt Olson.","R","R","R","ATL","NYM","X",6,"ground_ball",0,0,2024,"-1.33","0.86","-0.27","2.66",,,,2,9,"Top",113.39,153.64,,,,,5.995911614109194,-140.1515285325944,-4.305239051931029,-18.903487316380616,29.546012744856835,-20.00364772731235,"3.46","1.63",4,"70.9",-34,"96.5",2308,"6.3",747064,669221,621566,645277,570482,606115,657656,671739,642201,"54.23",0.083,0.062,"0",1,0,0,2,65,1,"Sinker",3,0,0,3,0,3,0,3,"Standard","Standard",217,"0.004","-0.099","69.6","6.8",0.102,"0.099","88.0",3,-3,"0.996","0.004",34,29,34,30,1,3,0,0,,1,"1.58","1.33","1.33","34.7"
"ST","2024-09-30","82.3","1.96","5.37","Alonso, Pete",624413,607481,"strikeout","swinging_strike",,,,,13,"Pete Alonso strikes out swinging.","R","R","L","ATL","NYM","S",2,,2,2,2024,"-1.18","-0.14","-0.98","1.18",,,,1,8,"Top",,,,,,,-4.392925445762859,-119.90483612989505,-2.7246142453143705,-10.566778267639638,22.852582870703767,-33.25662337244367,"3.47","1.64",,,,"82.4",2620,"6.3",747139,518595,621566,645277,570482,606115,657656,671739,642201,"54.24",,0,"0",1,0,0,,63,5,"Sweeper",3,6,6,3,6,3,6,3,"Standard","Standard",292,"0.004","-0.142","66.9","8.9",,"0.142",,-3,3,"0.072","0.928",30,29,31,30,1,3,8,1,1,0,"3.5","-1.18","1.18","9.4"
"FF","2024-09-30","93.9","2.05","5.27","Alonso, Pete",624413,607481,,"ball",,,,,12,"Pete Alonso strikes out swinging.","R","R","L","ATL","NYM","B",,,1,2,2024,"0.84","1.06","0.65","4.4",,,,1,8,"Top",,,,,,,-5.486244668676842,-136.81496646805385,1.0543390265159518,11.766470053174327,27.14653745113473,-19.202889269875513,"3.49","1.66",,,,"94.1",2310,"6.1",747139,518595,621566,645277,570482,606115,657656,671739,642201,"54.4",,,,,,,,63,4,"4-Seam Fastball",3,6,6,3,6,3,6,3,"Standard","Standard",117,"0","0.027",,,,"-0.027",,-3,3,"0.072","0.928",30,29,31,30,1,3,8,1,1,0,"1.5","0.84","-0.84","5.7"
"ST","2024-09-30","80.7","2.2","5.47","Alonso, Pete",624413,607481,,"foul",,,,,6,"Pete Alonso strikes out swinging.","R","R","L","ATL","NYM","S",,,1,1,2024,"-1.06","-0.04","0.5","2.82",,,,1,8,"Top",,,,,,,-1.763399781304444,-117.68362612114635,0.7266864779695761,-9.712797760740804,19.148066502123037,-32.86766577660283,"3.47","1.64",207,"71.9",42,"81.3",2354,"6.3",747139,518595,621566,645277,570482,606115,657656,671739,642201,"54.23",,,,,,,,63,3,"Sweeper",3,6,6,3,6,3,6,3,"Standard","Standard",290,"0","-0.039","73.3","6.4",,"0.039","88.0",-3,3,"0.072","0.928",30,29,31,30,1,3,8,1,1,0,"3.49","-1.06","1.06","12.4"
"SL","2024-09-30","86.2","1.81","6.55","Alonso, Pete",624413,669276,"field_out","hit_into_play",,,,,8,"Pete Alonso grounds out, third baseman Gio Urshela to first baseman Matt Olson.","R","R","L","ATL","NYM","X",5,"ground_ball",0,0,2024,"-0.2","0.39","-0.19","1.87",657193,,607043,2,6,"Top",95.81,168.19,,,,,-4.362544702526505,-125.4479517957127,-5.734865200197926,-1.3326095848558626,23.40420449887117,-27.126597593321865,"3.46","1.63",5,"89.2",-21,"86.7",2012,"6.4",747064,669221,621566,645277,570482,606115,657656,671739,624585,"54.07",0.069,0.052,"0",1,0,0,2,43,1,"Slider",1,0,0,1,0,1,0,1,"Standard","Standard",164,"0.08","-0.483","76.7","7.5",0.078,"0.483","89.2",1,-1,"0.666","0.334",29,29,30,30,1,2,1,0,2,1,"2.66","-0.2","0.2","48.9"
"ST","2024-09-30","80.3","2.21","5.22","Alonso, Pete",624413,607481,,"swinging_strike",,,,,13,"Pete Alonso strikes out swinging.","R","R","L","ATL","NYM","S",,,1,0,2024,"-0.96","-0.23","-2.05","1.4",,,,1,8,"Top",,,,,,,-7.6240434029132755,-116.7455207698787,-1.320603961594825,-7.322785356353665,21.963497451541805,-34.226102532692586,"3.47","1.64",,,,"80.2",2390,"6.3",747139,518595,621566,645277,570482,606115,657656,671739,642201,"54.2",,,,,,,,63,2,"Sweeper",3,6,6,3,6,3,6,3,"Standard","Standard",290,"0","-0.032","74.6","8.9",,"0.032",,-3,3,"0.072","0.928",30,29,31,30,1,3,8,1,1,0,"3.77","-0.96","0.96","8.1"
"ST","2024-09-30","80","2.35","5.21","Alonso, Pete",624413,607481,,"ball",,,,,14,"Pete Alonso strikes out swinging.","R","R","L","ATL","NYM","B",,,0,0,2024,"-1.15","-0.12","1.36","2.35",,,,1,8,"Top",,,,,,,-0.03274126112402759,-116.54138058665117,0.559977291523307,-10.482988035709154,20.543642385058043,-33.55649784243714,"3.51","1.66",,,,"80.1",2370,"6.2",747139,518595,621566,645277,570482,606115,657656,671739,642201,"54.34",,,,,,,,63,1,"Sweeper",3,6,6,3,6,3,6,3,"Standard","Standard",292,"0","0.025",,,,"-0.025",,-3,3,"0.072","0.928",30,29,31,30,1,3,8,1,1,0,"3.65","-1.15","1.15","8.3"
